%eval_id interface             x1             y1      objective        nlcon_1 
1        interface   -1.974800086  -0.1860481753    0.983544631    0.983544631 
2        interface   -1.974560022   -0.143412252   0.9797611862   0.9797611862 
3        interface   -1.899932593     1.36844992    1.341452336    1.341452336 
4        interface     -1.8851566   -1.219281481    1.245097489    1.245097489 
5        interface    -1.76601157   -1.821595712    1.537125894    1.537125894 
6        interface   -1.627677858   -1.343250004    1.110368637    1.110368637 
7        interface    -1.02066938    1.148345792   0.5363801747   0.5363801747 
8        interface  -0.9054253543   -1.254366379   0.5470068148   0.5470068148 
9        interface  -0.8899627099  -0.7941061886    0.192744006    0.192744006 
10       interface   0.1755987751    0.624011745   -1786.452047  -0.3517519088 
11       interface   0.2584126304   0.1802589959   -2326.350498  -0.6849279556 
12       interface   0.4277990192    1.478005202   0.5386719527   0.5386719527 
13       interface   0.5091683448   -1.670681231   0.7465475026   0.7465475026 
14       interface   0.6497093377  -0.8199137425  0.04612655479  0.04612655479 
15       interface    1.030295036  -0.5239443362   0.1558657053   0.1558657053 
16       interface    1.386152807   -1.527610451    1.062768357    1.062768357 
17       interface    1.582312971  -0.4624776833   0.6485144663   0.6485144663 
18       interface     1.67333194    -1.39090454     1.17592629     1.17592629 
19       interface    1.674223609  -0.9502898282   0.9251169966   0.9251169966 
20       interface    1.792810663   -1.443095613    1.301454979    1.301454979 
21       interface   -1.974560022   0.9200350004    1.178382814    1.178382814 
22       interface   -1.974560022    1.478005202    1.466452241    1.466452241 
23       interface   -1.899932593   -1.821595712    1.632100833    1.632100833 
24       interface    -1.76601157    1.070910789    1.065344229    1.065344229 
25       interface  -0.8899627099  -0.8199137425   0.2100794065   0.2100794065 
26       interface   0.2584126304   -1.670681231   0.6905480955   0.6905480955 
27       interface   0.4277990192   -0.143412252   -2066.176123   -0.548802621 
28       interface   0.6497093377    -1.39090454   0.5351669821   0.5351669821 
29       interface   0.6497093377   -1.254366379   0.4126419349   0.4126419349 
30       interface   0.6497093377  -0.7941061886  0.02602478638  0.02602478638 
31       interface   -1.974560022    1.379160955    1.408520754    1.408520754 
32       interface    0.223142556    1.478005202   0.4947548218   0.4947548218 
33       interface    1.582312971   -1.670681231    1.301062823    1.301062823 
34       interface    1.582312971  -0.8199137425   0.7821259449   0.7821259449 
35       interface   -1.723220687    0.624011745   0.8327248004   0.8327248004 
36       interface    -1.02066938  -0.4624776833   0.1205586066   0.1205586066 
37       interface    0.223142556   -0.143412252   -2444.097884  -0.7347460192 
38       interface   0.2584126304   -0.143412252   -2372.134489  -0.7044595433 
39       interface   0.4277990192  -0.7941061886   -1570.023899  -0.0979929936 
40       interface   0.4277990192     1.54241764   0.6006449253   0.6006449253 
41       interface   0.5091683448   -1.254366379    0.353767859    0.353767859 
42       interface   0.6497093377    1.478005202   0.6145035152   0.6145035152 
43       interface    1.582312971    1.148345792   0.9550990758   0.9550990758 
44       interface    -1.02066938  -0.7941061886   0.2932016943   0.2932016943 
45       interface    -1.02066938    0.624011745   0.1963095925   0.1963095925 
46       interface  -0.8899627099   -1.254366379   0.5380080097   0.5380080097 
47       interface  -0.8899627099    1.478005202    0.725263169    0.725263169 
48       interface   0.1755987751    1.148345792   0.1616940164   0.1616940164 
49       interface   0.6497093377    -1.51092639   0.6446947375   0.6446947375 
50       interface   0.6497093377  -0.5199748718   -1617.192496     -0.1678365 
51       interface   0.6497093377    1.148345792   0.3194014861   0.3194014861 
52       interface   -1.145799636    0.624011745   0.3047020594   0.3047020594 
53       interface   0.2584126304  -0.7941061886   -1613.456695  -0.1649061572 
54       interface   0.2584126304  -0.5239443362    -1860.98634  -0.4157956222 
55       interface   0.4277990192  -0.8199137425   -1560.990739 -0.07519161662 
56       interface   0.6886065689  -0.7941061886   0.0510868877   0.0510868877 
57       interface   -1.336446164  -0.4624776833   0.4142043547   0.4142043547 
58       interface  -0.8899627099    1.148345792   0.4528357385   0.4528357385 
59       interface    0.223142556  -0.7941061886   -1621.705516  -0.1751380485 
60       interface   0.2584126304    0.624011745   -1757.340387   -0.324598086 
61       interface   0.4277990192  -0.5199748718   -1756.886256   -0.326660659 
62       interface   0.6497093377   -1.345059652   0.4937562354   0.4937562354 
63       interface   0.6497093377   -0.143412252   -1766.950167  -0.3346509957 
64       interface   0.4428531278   -0.143412252              0  -0.5345046006 
65       interface   0.9097209102  -0.5199748718  0.04783872889  0.04783872889 
66       interface   -1.438624974  -0.7941061886   0.6432426645   0.6432426645 
67       interface   0.7169278798  -0.5239443362   -1580.989357  -0.1120229438 
68       interface    0.223142556   0.1802589959   -2390.893431  -0.7131447998 
69       interface   0.4277990192  -0.3552442279    -1900.84274  -0.4439330415 
70       interface   0.4277990192   0.1802589959   -2040.894914  -0.5357745091 
71       interface   0.6497093377   0.1802589959     -1757.8805  -0.3257481709 
72       interface   0.9097209102  -0.7941061886   0.2075581863   0.2075581863 
73       interface   0.9097209102   -0.143412252   -1559.865231 -0.07904440472 
74       interface    1.114253904   0.1802589959   0.1287404787   0.1287404787 
75       interface  -0.9956276505  -0.3552442279  0.05710589815  0.05710589815 
76       interface   0.1755987751  -0.5199748718   -1906.990133  -0.4511750761 
77       interface   0.2584126304  -0.5199748718   -1865.599429   -0.419352986 
78       interface   0.4277990192    0.624011745   -1675.640264  -0.2434270301 
79       interface   0.7169278798   -0.143412252   -1699.730589  -0.2688689181 
80       interface    1.417888835   0.1802589959   0.4293012468   0.4293012468 
81       interface  -0.9630117318   0.1802589959   -1538.598269 -0.02026284076 
82       interface    0.223142556  -0.5199748718   -1885.886625  -0.4341674562 
83       interface   0.7169278798    0.624011745              0  -0.0495389315 
84       interface    1.596113086   0.1802589959   0.6062597203   0.6062597203 
85       interface   0.2584126304  -0.5703717985   -1809.349786  -0.3738202526 
86       interface   0.6236218003  -0.5199748718   -1631.175214  -0.1880406309 
87       interface   0.6497093377    0.624011745   -1572.266129 -0.09915990243 
88       interface   -1.088500434  -0.5199748718   0.2063196351   0.2063196351 
89       interface   0.1755987751   -0.143412252   -2541.477119  -0.7732798998 
90       interface   0.6497093377  -0.5239443362   -1615.400247  -0.1653504382 
91       interface     1.70657975  -0.5199748718   0.7840370821   0.7840370821 
92       interface   0.6497093377    1.192032659    0.357594963    0.357594963 
93       interface    1.098719531  -0.5199748718   0.2155486313   0.2155486313 
94       interface   -0.326131846   -0.143412252   -2247.061475  -0.6437289585 
95       interface   0.2584126304  -0.3552442279   -2083.738443  -0.5607101765 
96       interface   0.4277990192  -0.5239443362   -1753.579088   -0.323590606 
97       interface    0.623187003  -0.5199748718   -1631.416895  -0.1883745273 
98       interface   0.2584126304  -0.5132522166   -1873.483052  -0.4253653984 
99       interface   0.2584126304  -0.2259601458   -2267.481843  -0.6567288608 
100      interface   0.4277990192  -0.5703717985   -1716.312924  -0.2870231495 
101      interface  -0.6354181108   0.1802589959   -1766.963794  -0.3395081521 
102      interface   0.1755987751  -0.3552442279   -2161.629697  -0.6037256111 
103      interface    0.223142556    1.104597533   0.1269109593   0.1269109593 
104      interface  -0.6354181108  -0.3967299063   -1681.671371  -0.2509000106 
105      interface   0.2584126304    1.446319239   0.4692230697   0.4692230697 
106      interface   0.2584126304   0.1788375071   -2328.113551  -0.6857390551 
107      interface   0.4239574496   -0.143412252   -2072.382654  -0.5524433074 
108      interface   -1.179556982   0.1802589959   0.1932510127   0.1932510127 
109      interface   -0.326131846  -0.5199748718              0  -0.3862118865 
110      interface   0.2584126304  -0.5629604415   -1817.305867  -0.3805635253 
111      interface   0.4239574496   0.1802589959   -2046.708231  -0.5393122265 
112      interface    0.223142556 -0.04591873197   -2539.901716  -0.7721818044 
113      interface   0.2584126304    1.702717129   0.7222144782   0.7222144782 
114      interface   0.4277990192  -0.5132522166   -1762.521696  -0.3318384636 
115      interface   0.4277990192   0.1788375071   -2041.822294  -0.5363246235 
116      interface -0.06058823972   0.1788375071   -2649.148761  -0.8111778913 
117      interface    0.223142556  -0.5505415511   -1847.351595  -0.4059557257 
118      interface   0.1755987751   0.1802589959   -2483.959358  -0.7483489809 
119      interface    0.223142556   -1.805754404   0.8194893701   0.8194893701 
120      interface    0.223142556   -1.131539976   0.1533322668   0.1533322668 
121      interface   0.2496448058  -0.3552442279              0  -0.5658099604 
122      interface   0.3333889387   0.1788375071   -2194.816603  -0.6216733708 
123      interface   0.4239574496  -0.3552442279   -1904.977253  -0.4468830318 
124      interface -0.06058823972   -0.143412252   -2750.592864  -0.8443143911 
125      interface -0.04924728444   -0.143412252    -2766.63609  -0.8483676517 
126      interface   0.4239574496  -0.2259601458   -2017.256812  -0.5195856928 
127      interface   0.4277990192    1.153642147   0.2304073326   0.2304073326 
128      interface -0.06058823972  -0.2259601458   -2529.338525  -0.7660578655 
129      interface   0.2584126304   0.6067794313   -1774.848296  -0.3404862656 
130      interface   0.4277990192    1.194014396   0.2683384322   0.2683384322 
131      interface  -0.4490832176  -0.3552442279   -1878.523267  -0.4273969981 
132      interface -0.04924728444    -1.58746694   0.5882306447   0.5882306447 
133      interface -0.04924728444   0.1788375071   -2658.338708  -0.8145056632 
134      interface   0.1755987751 -0.04591873197   -2662.222514  -0.8184966674 
135      interface   0.1755987751   0.1788375071   -2486.591086  -0.7493652383 
136      interface   0.3333889387   -0.143412252   -2230.657702  -0.6370740317 
137      interface   0.4239574496   0.1788375071    -2047.64865  -0.5398665704 
138      interface   -0.326131846  -0.2259601458   -2165.483747  -0.6032381464 
139      interface   -0.326131846   0.1788375071   -2210.626553   -0.628052645 
140      interface   -0.326131846    1.640899818   0.6729955749   0.6729955749 
141      interface   0.7317005166   0.1788375071   -1678.986589   -0.246761326 
142      interface   -0.326131846   -1.819814328   0.8488066879   0.8488066879 
143      interface    0.223142556   0.1788375071   -2392.936742  -0.7140359214 
144      interface   0.2584126304 -0.04591873197   -2451.899841  -0.7375393029 
145      interface   0.7208041133   -0.143412252   -1696.124789  -0.2650675924 
146      interface    0.223142556  -0.2259601458   -2322.235963  -0.6824301844 
147      interface   0.2584126304    1.731994821    0.751166225    0.751166225 
148      interface   0.7841697013   -0.143412252   -1642.044999  -0.2028242387 
149      interface  -0.4886829399   0.1788375071   -1950.082768   -0.479621417 
150      interface -0.06058823972   0.1802589959              0  -0.8098310215 
151      interface -0.04924728444   -1.787144098   0.7878225085   0.7878225085 
152      interface   -0.326131846   0.1802589959              0  -0.6273670887 
153      interface -0.04924728444  -0.2259601458   -2535.602247  -0.7687354707 
154      interface   0.2584126304   0.2842577408   -2187.462055  -0.6158391603 
155      interface    1.449845761   0.1802589959   0.4610085682   0.4610085682 
156      interface   0.1755987751    1.453557465   0.4641257575   0.4641257575 
157      interface   0.2584126304   -1.138494124   0.1674527648   0.1674527648 
158      interface -0.06058823972 -0.04591873197   -3009.906819  -0.9239772091 
159      interface   0.1755987751   -0.552659483   -1864.777718  -0.4201142923 
160      interface   0.1755987751  -0.2259601458   -2393.783513  -0.7138306143 
161      interface    0.223142556    1.510070178    0.526467996    0.526467996 
162      interface   -1.162052592 -0.04591873197   0.1629594819   0.1629594819 
163      interface -0.06058823972   -1.762472352   0.7635134608   0.7635134608 
164      interface   0.2584126304   0.7085392767   -1678.017483  -0.2458083836 
165      interface   0.2584126304    1.142331475   0.1711952383   0.1711952383 
166      interface   0.4314561255   0.1788375071   -2036.307824  -0.5329483517 
167      interface   0.8428459423 -0.04591873197   -1607.580083   -0.155904145 
168      interface -0.04924728444  -0.1923796433   -2626.179229   -0.801416964 
169      interface    0.223142556   -1.274937745   0.2943179107   0.2943179107 
170      interface -0.04924728444   0.1802589959   -2654.367936  -0.8131348063 
171      interface   0.2584126304  0.02900121642   -2451.763889  -0.7399650829 
172      interface    1.547971189  -0.2259601458   0.5643761662   0.5643761662 
173      interface    0.223142556   0.9996740106  0.02427570886  0.02427570886 
174      interface    1.330710431   0.1788375071    0.342673864    0.342673864 
175      interface  -0.4816996187   0.1788375071   -1959.873951  -0.4861737875 
176      interface   0.1196401856   0.1788375071   -2577.243369  -0.7848334878 
177      interface   0.5244091463  -0.1923796433              0  -0.4414170788 
178      interface    1.721110962   0.1788375071    0.730377357    0.730377357 
179      interface   -1.076211715   -0.143412252  0.08572497877  0.08572497877 
180      interface -0.06058823972  -0.1923796433   -2618.318508  -0.7983050275 
181      interface   0.2584126304   -0.422040363   -1990.719246  -0.5051311734 
182      interface   -1.363182883 -0.04591873197   0.3639560486   0.3639560486 
183      interface    -1.19760777   0.1788375071   0.2108869579   0.2108869579 
184      interface -0.04924728444 -0.04591873197   -3039.342804  -0.9326663162 
185      interface   0.1196401856 -0.04591873197   -2812.774674  -0.8718504625 
186      interface -0.04924728444   -1.191500304   0.1925176181   0.1925176181 
187      interface   0.1755987751   -1.947562106   0.9554623715   0.9554623715 
188      interface   -1.451661048  -0.2259601458   0.4691418535   0.4691418535 
189      interface   0.1196401856   -0.792350897   -1637.000248  -0.1986675359 
190      interface   0.1755987751  0.02900121642    -2682.44735  -0.8220224723 
191      interface  -0.2287438895  -0.2259601458   -2323.678601  -0.6784696679 
192      interface   0.1196401856 -0.02400400584   -2833.343353  -0.8779755504 
193      interface -0.06058823972  0.02900121642   -3039.463417  -0.9328285377 
194      interface -0.04924728444   -1.425363388    0.426213898    0.426213898 
195      interface -0.04924728444  0.02900121642   -3073.703938  -0.9428478734 
196      interface    0.223142556 -0.06394337586   -2528.142636  -0.7678764217 
197      interface -0.04924728444   -1.484952008   0.4857684076   0.4857684076 
198      interface   0.1755987751  -0.1923796433   -2455.390582  -0.7395295468 
199      interface    1.480630748  0.02900121642   0.4809147452   0.4809147452 
200      interface -0.04924728444 -0.02400400584   -3082.996542  -0.9452141686 
201      interface   0.1755987751  -0.4900457144   -1953.735249  -0.4794428638 
202      interface   0.7425480181 -0.04591873197   -1687.008787   -0.256033543 
203      interface -0.04924728444    1.327708181    0.328621206    0.328621206 
204      interface   0.1196401856  0.02900121642   -2849.731051  -0.8768949856 
205      interface   0.1755987751 -0.02400400584   -2674.993159  -0.8227681685 
206      interface   0.1755987751    1.321965085   0.3335766254   0.3335766254 
207      interface -0.04924728444   -1.134240372    0.135308996    0.135308996 
208      interface   0.1196401856  -0.1923796433   -2543.336225  -0.7734526514 
209      interface   0.1196401856  -0.1458182401   -2645.503033  -0.8113820444 
210      interface   -1.046156395 -0.02400400584  0.04643174412  0.04643174412 
211      interface   0.1755987751   -1.268254174   0.2803529122   0.2803529122 
212      interface   -1.816759605  -0.1458182401   0.8226021018   0.8226021018 
213      interface    1.273820536  -0.1923796433   0.2882657665   0.2882657665 
214      interface -0.04924728444    1.796534259   0.7972091249   0.7972091249 
215      interface   0.1755987751  -0.1458182401   -2537.441684  -0.7717503801 
216      interface   0.4760878954  -0.1923796433   -1966.520166  -0.4865123066 
217      interface -0.03941023258 -0.04591873197   -3062.535334  -0.9394880476 
