%eval_id interface             x1             y1      objective        nlcon_1 
1        interface   -1.875243985    1.218913141     1.23657981     1.23657981 
2        interface    -1.25596241   0.8230396252   0.5016110681   0.5016110681 
3        interface  -0.5817923924   0.4293811147    -1705.06164  -0.2769159596 
4        interface   0.9171729952  -0.5716444849   0.0807329551   0.0807329551 
5        interface   0.1676903014 -0.07113168511    -2650.17478  -0.8178468946 
6        interface  -0.7903614719   -1.999903557    1.150415191    1.150415191 
7        interface  -0.3113355853   -1.035517621  0.08130781467  0.08130781467 
8        interface -0.07182264194   -0.553324653    -1894.74271  -0.4420334566 
9        interface  0.04793382972   -0.312228169   -2321.162251  -0.6841138155 
10       interface   0.1078120656  -0.1916799271   -2561.414255  -0.7800803875 
